Event, Details, Time(s)
 Start, 27/11/2025 22:39:07, 0.03560937 
 Auth, Sent: {"deviceId":"6559896c3b3e45105ff4dc13fe3ee9d9200d2fe3"} -- Received: {"registered":false,"device":"6559896c3b3e45105ff4dc13fe3ee9d9200d2fe3","token":464541,"name":"6559896c3b3e45105ff4dc13fe3ee9d9200d2fe3","id":"6928d30c54a9220013815b81"}, 0.775839 
 Connected, Connected to socket, 3.150839 
 Join room, {"deviceId":"6928d30c54a9220013815b81","agentId":""}, 3.150839 
 Reauth, , 211.0089 
 Auth, Sent: {"deviceId":"6559896c3b3e45105ff4dc13fe3ee9d9200d2fe3"} -- Received: {"registered":true,"device":"6559896c3b3e45105ff4dc13fe3ee9d9200d2fe3","token":464541,"name":"6559896c3b3e45105ff4dc13fe3ee9d9200d2fe3","agentId":"68868e44c3017a000fc064ab","cashierId":"68868e9f0d922000111f2c1a","currency":"₦","superAgentId":"68868e44c3017a000fc064ab","id":"6928d30c54a9220013815b81","setBonus":10}, 211.712 
 Join room, {"deviceId":"6928d30c54a9220013815b81","agentId":"68868e44c3017a000fc064ab"}, 211.712 

 CreatePlayer, Response Time: 0.296875, Response: {"status":"ok","data":{"wallet":0,"bonus":0,"playLevel":20,"freebet":false,"deviceId":"6928d30c54a9220013815b81","cashierId":"68868e9f0d922000111f2c1a","playerId":1,"superAgentId":"68868e44c3017a000fc064ab","id":"6928d4ae7ff8e6000e465da3"}}, 410.9075 

 Start, 27/11/2025 22:47:49, 0.03560937 
 Auth, Sent: {"deviceId":"6559896c3b3e45105ff4dc13fe3ee9d9200d2fe3"} -- Received: {"registered":true,"device":"6559896c3b3e45105ff4dc13fe3ee9d9200d2fe3","token":464541,"name":"6559896c3b3e45105ff4dc13fe3ee9d9200d2fe3","agentId":"68868e44c3017a000fc064ab","cashierId":"68868e9f0d922000111f2c1a","currency":"₦","superAgentId":"68868e44c3017a000fc064ab","id":"6928d30c54a9220013815b81","setBonus":10}, 0.5284838 
 Connected, Connected to socket, 2.794109 
 Join room, {"deviceId":"6928d30c54a9220013815b81","agentId":"68868e44c3017a000fc064ab"}, 2.794109 

 Start, 27/11/2025 22:49:38, 0.03560937 
 Auth, Sent: {"deviceId":"6559896c3b3e45105ff4dc13fe3ee9d9200d2fe3"} -- Received: {"registered":true,"device":"6559896c3b3e45105ff4dc13fe3ee9d9200d2fe3","token":464541,"name":"6559896c3b3e45105ff4dc13fe3ee9d9200d2fe3","agentId":"68868e44c3017a000fc064ab","cashierId":"68868e9f0d922000111f2c1a","currency":"₦","superAgentId":"68868e44c3017a000fc064ab","id":"6928d30c54a9220013815b81","setBonus":10}, 0.5856315 
 Connected, Connected to socket, 2.757475 
 Join room, {"deviceId":"6928d30c54a9220013815b81","agentId":"68868e44c3017a000fc064ab"}, 2.757475 

 CreatePlayer, Response Time: 0.28125, Response: {"status":"ok","data":{"wallet":0,"bonus":0,"playLevel":20,"freebet":false,"deviceId":"6928d30c54a9220013815b81","cashierId":"68868e9f0d922000111f2c1a","playerId":2,"superAgentId":"68868e44c3017a000fc064ab","id":"6928d5a0378ed700237ddc54"}}, 29.60126 
 CreatePlayer, Response Time: 0.3125, Response: {"status":"ok","data":{"wallet":0,"bonus":0,"playLevel":20,"freebet":false,"deviceId":"6928d30c54a9220013815b81","cashierId":"68868e9f0d922000111f2c1a","playerId":3,"superAgentId":"68868e44c3017a000fc064ab","id":"6928d5a154a9220013815b89"}}, 30.88251 
 CreatePlayer, Response Time: 0.203125, Response: {"status":"ok","data":{"wallet":0,"bonus":0,"playLevel":20,"freebet":false,"deviceId":"6928d30c54a9220013815b81","cashierId":"68868e9f0d922000111f2c1a","playerId":4,"superAgentId":"68868e44c3017a000fc064ab","id":"6928d5a21beed60010205353"}}, 32.19501 
 CreatePlayer, Response Time: 0.28125, Response: {"status":"ok","data":{"wallet":0,"bonus":0,"playLevel":20,"freebet":false,"deviceId":"6928d30c54a9220013815b81","cashierId":"68868e9f0d922000111f2c1a","playerId":5,"superAgentId":"68868e44c3017a000fc064ab","id":"6928d5a38633de0025131687"}}, 32.60126 

 Start, 27/11/2025 22:52:03, 0.03560937 
 Auth, Sent: {"deviceId":"6559896c3b3e45105ff4dc13fe3ee9d9200d2fe3"} -- Received: {"registered":true,"device":"6559896c3b3e45105ff4dc13fe3ee9d9200d2fe3","token":464541,"name":"6559896c3b3e45105ff4dc13fe3ee9d9200d2fe3","agentId":"68868e44c3017a000fc064ab","cashierId":"68868e9f0d922000111f2c1a","currency":"₦","superAgentId":"68868e44c3017a000fc064ab","id":"6928d30c54a9220013815b81","setBonus":10}, 0.5265997 
 Connected, Connected to socket, 2.792225 
 Join room, {"deviceId":"6928d30c54a9220013815b81","agentId":"68868e44c3017a000fc064ab"}, 2.792225 

 fund-player, {"playerId":"6928d4ae7ff8e6000e465da3","amount":50000}, 64.31248 
 fund-player, {"playerId":"6928d5a0378ed700237ddc54","amount":50000}, 68.99998 

 fund-player, {"playerId":"6928d5a154a9220013815b89","amount":2500}, 72.65623 
 PlaceBet Request Sent: , {"stake":20,"roundId":"17642839679059313","deviceId":"6928d30c54a9220013815b81","cashierId":"68868e9f0d922000111f2c1a","playerId":"2","gameType":"aviatax"}, 76.2656 
 PlaceBet Response Received: , Response Time: 0.21875, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":20,"gameType":"aviatax","cashierId":"68868e9f0d922000111f2c1a","ticketId":"8544722264","betType":"single","playerId":"2","roundId":"17642839679059313","deviceId":"6928d30c54a9220013815b81","selections":[],"createdAt":"2025-11-27T22:53:19.910Z","id":"6928d65f379d46001e864d44"}}, 76.48435 
 PlaceBet Request Sent: , {"stake":20,"roundId":"17642839679059313","deviceId":"6928d30c54a9220013815b81","cashierId":"68868e9f0d922000111f2c1a","playerId":"3","gameType":"aviatax"}, 77.35935 
 PlaceBet Response Received: , Response Time: 0.203125, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":20,"gameType":"aviatax","cashierId":"68868e9f0d922000111f2c1a","ticketId":"6258073937","betType":"single","playerId":"3","roundId":"17642839679059313","deviceId":"6928d30c54a9220013815b81","selections":[],"createdAt":"2025-11-27T22:53:20.977Z","id":"6928d660f513010012e09f97"}}, 77.56248 
 PlaceBet Request Sent: , {"stake":20,"roundId":"17642839679059313","deviceId":"6928d30c54a9220013815b81","cashierId":"68868e9f0d922000111f2c1a","playerId":"1","gameType":"aviatax"}, 78.40623 
 PlaceBet Response Received: , Response Time: 0.203125, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":20,"gameType":"aviatax","cashierId":"68868e9f0d922000111f2c1a","ticketId":"7531820563","betType":"single","playerId":"1","roundId":"17642839679059313","deviceId":"6928d30c54a9220013815b81","selections":[],"createdAt":"2025-11-27T22:53:22.019Z","id":"6928d662953187000f5a9dc5"}}, 78.60935 
 fund-player, {"playerId":"6928d5a21beed60010205353","amount":5450}, 80.65623 
 Cashout request sent: , {"deviceId":"6928d30c54a9220013815b81","ticketId":"6928d662953187000f5a9dc5","odd":1.159999966621399}, 81.53123 
 Cashout Response Received: , Response Time: 0.21875, Response: {"status":"ok","data":{"wallet":50003.2,"type":"regular","status":"active","playLevel":20,"bonus":500,"freebet":false,"deviceId":"6928d30c54a9220013815b81","cashierId":"68868e9f0d922000111f2c1a","playerId":1,"superAgentId":"68868e44c3017a000fc064ab","createdAt":"2025-11-27T22:46:06.991Z","id":"6928d4ae7ff8e6000e465da3"}}, 81.74998 

 fund-player, {"playerId":"6928d5a38633de0025131687","amount":4500}, 84.90623 
 PlaceBet Request Sent: , {"stake":20,"roundId":"17642839773306737","deviceId":"6928d30c54a9220013815b81","cashierId":"68868e9f0d922000111f2c1a","playerId":"1","gameType":"aviatax"}, 86.68748 
 PlaceBet Request Sent: , {"stake":20,"roundId":"17642839773306737","deviceId":"6928d30c54a9220013815b81","cashierId":"68868e9f0d922000111f2c1a","playerId":"2","gameType":"aviatax"}, 86.71873 
 PlaceBet Request Sent: , {"stake":20,"roundId":"17642839773306737","deviceId":"6928d30c54a9220013815b81","cashierId":"68868e9f0d922000111f2c1a","playerId":"4","gameType":"aviatax"}, 86.85935 
 PlaceBet Response Received: , Response Time: 0.203125, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":20,"gameType":"aviatax","cashierId":"68868e9f0d922000111f2c1a","ticketId":"9676177344","betType":"single","playerId":"1","roundId":"17642839773306737","deviceId":"6928d30c54a9220013815b81","selections":[],"createdAt":"2025-11-27T22:53:30.324Z","id":"6928d66a6036f3000d220f13"}}, 86.8906 
 PlaceBet Response Received: , Response Time: 0.28125, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":20,"gameType":"aviatax","cashierId":"68868e9f0d922000111f2c1a","ticketId":"2519984984","betType":"single","playerId":"2","roundId":"17642839773306737","deviceId":"6928d30c54a9220013815b81","selections":[],"createdAt":"2025-11-27T22:53:30.416Z","id":"6928d66a5a0930001083ceb9"}}, 86.99998 
 PlaceBet Response Received: , Response Time: 0.25, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":20,"gameType":"aviatax","cashierId":"68868e9f0d922000111f2c1a","ticketId":"7901595883","betType":"single","playerId":"4","roundId":"17642839773306737","deviceId":"6928d30c54a9220013815b81","selections":[],"createdAt":"2025-11-27T22:53:30.528Z","id":"6928d66ac723a2001ca1a3ba"}}, 87.10935 
 PlaceBet Request Sent: , {"stake":20,"roundId":"17642839773306737","deviceId":"6928d30c54a9220013815b81","cashierId":"68868e9f0d922000111f2c1a","playerId":"5","gameType":"aviatax"}, 88.8281 
