Event, Details, Time(s)
 Left Click,  4, 363.7885 
 Left Click,  8, 367.5884 
 Left Click,  6, 370.8051 
 Left Click,  1, 371.3884 
 Left Click,  2, 372.4051 

 Left Click,  9, 379.3549 
 Left Click,  6, 379.5883 
 Left Click,  1, 380.7216 
 Left Click,  3, 381.2216 
 Left Click,  10, 381.3882 
 Left Click,  2, 381.6549 
 Left Click,  8, 382.1549 
 Left Click,  7, 382.3882 
 Left Click,  5, 382.5549 
 Left Click,  4, 382.6882 
 Left Click,  8, 385.0882 
 Left Click,  3, 385.4549 
 Left Click,  1, 387.7048 
 Left Click,  9, 387.8048 
 Left Click,  10, 394.1547 
 Left Click,  6, 400.2546 
 Left Click,  7, 402.4046 

 Left Click,  5, 405.6379 
 Left Click,  6, 409.9712 
 Left Click,  7, 410.0711 
 Left Click,  2, 410.5045 
 Left Click,  4, 411.7044 
 Left Click,  1, 411.9711 
 Left Click,  3, 412.0211 
 Left Click,  5, 412.2044 
 Left Click,  10, 412.6878 
 Left Click,  9, 413.0211 
 Left Click,  8, 413.2878 
 Left Click,  10, 417.9044 
 Left Click,  3, 418.0377 
 Left Click,  9, 418.221 

 Left Click,  7, 419.6377 
 Left Click,  6, 421.071 
 Left Click,  8, 423.1043 
 Left Click,  10, 423.2209 
 Left Click,  2, 424.0376 
 Left Click,  1, 424.7209 
 Left Click,  9, 424.8043 
 Left Click,  5, 424.9209 
 Left Click,  4, 425.4876 
 Left Click,  6, 425.9376 
 Left Click,  3, 426.1042 
 Left Click,  7, 426.2542 
 Left Click,  8, 428.8875 
 Left Click,  4, 435.5208 
 Left Click,  9, 435.9874 
 Left Click,  1, 441.9373 

 Left Click,  2, 442.7873 
 Left Click,  10, 443.2707 
 Left Click,  3, 446.6706 
 Left Click,  4, 446.9539 
 Left Click,  7, 447.1373 
 Left Click,  10, 447.1873 
 Left Click,  6, 447.7873 
 Left Click,  8, 448.7706 
 Left Click,  9, 449.0039 
 Left Click,  1, 449.0706 
 Left Click,  5, 449.6872 
 Left Click,  2, 449.9706 
 Left Click,  10, 454.6705 
 Left Click,  8, 454.9705 

 Left Click,  6, 457.5871 
 Left Click,  8, 459.8371 
 Left Click,  10, 460.1537 
 Left Click,  9, 460.2537 
 Left Click,  6, 460.4704 
 Left Click,  5, 460.7204 
 Left Click,  1, 461.1871 
 Left Click,  3, 461.2371 
 Left Click,  7, 462.4204 
 Left Click,  2, 462.6037 
 Left Click,  4, 463.5204 

 Left Click,  8, 468.0703 
 Left Click,  1, 469.3702 
 Left Click,  2, 469.4869 
 Left Click,  5, 470.0536 
 Left Click,  9, 470.8536 
 Left Click,  3, 470.8869 
 Left Click,  8, 471.3535 
 Left Click,  7, 471.8202 
 Left Click,  4, 472.4035 
 Left Click,  10, 472.8702 
 Left Click,  6, 472.9202 
 Left Click,  10, 475.9368 
 Left Click,  9, 482.2867 
 Left Click,  7, 483.6701 

 Left Click,  2, 487.0034 
 Left Click,  1, 491.5866 
 Left Click,  7, 491.7699 
 Left Click,  10, 492.6033 
 Left Click,  65620, 492.6199 
 Left Click,  2, 492.6866 
 Left Click,  9, 492.7366 
 Left Click,  3, 493.4199 
 Left Click,  6, 493.4199 
 Left Click,  4, 494.0699 
 Left Click,  8, 494.1866 
 Left Click,  5, 494.3532 
 Left Click,  5, 499.0365 

 Left Click,  1, 500.3365 
 Left Click,  4, 500.5365 
 Left Click,  6, 501.0865 
 Left Click,  5, 503.8198 
 Left Click,  10, 503.9031 
 Left Click,  4, 505.5364 
 Left Click,  8, 505.7864 
 Left Click,  7, 505.9364 
 Left Click,  3, 506.3197 
 Left Click,  6, 506.6697 
 Left Click,  9, 506.8197 
 Left Click,  2, 506.9531 
 Left Click,  1, 507.3031 

 Left Click,  9, 516.2529 
 Left Click,  10, 516.7362 
 Left Click,  8, 518.1862 
 Left Click,  2, 518.3195 
 Left Click,  3, 518.3195 
 Left Click,  1, 518.7029 
 Left Click,  6, 518.8362 
 Left Click,  10, 519.7362 
 Left Click,  7, 519.9529 
 Left Click,  5, 521.2028 
 Left Click,  9, 521.5195 
 Left Click,  4, 521.8862 
 Left Click,  5, 524.3195 
 Left Click,  7, 525.4861 
 Left Click,  6, 525.9361 
 Left Click,  10, 529.2027 
 Left Click,  8, 529.3361 

 Left Click,  2, 533.8693 
 Left Click,  8, 535.9193 
 Left Click,  7, 536.9359 
 Left Click,  9, 537.9026 
 Left Click,  3, 538.5526 
 Left Click,  10, 538.6859 
 Left Click,  2, 538.7359 
 Left Click,  6, 538.7359 
 Left Click,  1, 539.0359 
 Left Click,  4, 539.1026 
 Left Click,  5, 539.4193 

 Left Click,  9, 541.9192 
 Left Click,  8, 542.5858 
 Left Click,  1, 542.6859 
 Left Click,  10, 545.6358 
 Left Click,  5, 545.8691 
 Left Click,  3, 545.8858 
 Left Click,  2, 546.6358 
 Left Click,  6, 546.9025 
 Left Click,  8, 547.4858 
 Left Click,  1, 547.5691 
 Left Click,  7, 547.8358 
 Left Click,  9, 548.0524 
 Left Click,  4, 549.4024 
 Left Click,  8, 555.1523 
 Left Click,  1, 555.719 
 Left Click,  7, 556.4357 
 Left Click,  2, 558.0023 

 Left Click,  5, 561.2189 
 Left Click,  65620, 562.9022 
 Left Click,  5, 564.8355 
 Left Click,  7, 565.0189 
 Left Click,  2, 565.1022 
 Left Click,  4, 565.1522 
 Left Click,  10, 565.3522 
 Left Click,  3, 565.6522 
 Left Click,  9, 565.9688 
 Left Click,  6, 566.1688 
 Left Click,  1, 566.2189 
 Left Click,  8, 566.5021 
 Left Click,  8, 571.1354 
 Left Click,  7, 575.6353 
 Left Click,  2, 576.9354 

 Left Click,  10, 578.5353 
 Left Click,  4, 579.5853 
 Left Click,  5, 582.1852 
 Left Click,  2, 582.9852 
 Left Click,  1, 583.1519 
 Left Click,  7, 583.2186 
 Left Click,  3, 583.3353 
 Left Click,  4, 583.6686 
 Left Click,  6, 583.8519 
 Left Click,  8, 584.3519 
 Left Click,  10, 584.4019 
 Left Click,  9, 585.0186 
 Left Click,  2, 588.8852 
 Left Click,  3, 588.9852 
 Left Click,  4, 590.1352 

 Left Click,  10, 596.9517 
 Left Click,  9, 597.0017 
 Left Click,  1, 597.3683 
 Left Click,  6, 597.385 
 Left Click,  2, 597.6517 
 Left Click,  8, 597.9683 
 Left Click,  7, 599.135 
 Left Click,  4, 599.735 
 Left Click,  5, 599.7516 
 Left Click,  3, 600.5183 
 Left Click,  1, 604.8349 
 Left Click,  7, 607.2182 

 Left Click,  3, 610.6848 
 Left Click,  10, 612.5848 
 Left Click,  7, 612.9014 
 Left Click,  9, 613.0015 
 Left Click,  8, 613.8015 
 Left Click,  2, 614.0015 
 Left Click,  6, 614.6181 
 Left Click,  1, 615.0347 
 Left Click,  3, 615.2514 
 Left Click,  5, 615.4348 
 Left Click,  4, 615.8181 

 Left Click,  4, 622.2014 
 Left Click,  7, 622.2014 
 Left Click,  9, 622.468 
 Left Click,  6, 624.2013 
 Left Click,  2, 624.5679 
 Left Click,  5, 624.668 
 Left Click,  10, 624.668 
 Left Click,  3, 624.8513 
 Left Click,  1, 624.918 
 Left Click,  8, 625.4346 

 Left Click,  7, 637.5344 

 Start,  15/06/2025 15:27:39, 0.2366791 

 Left Click,  5, 66.20078 
 Left Click,  6, 67.55076 

 Left Click,  4, 69.50073 
 Left Click,  7, 72.10067 
 Left Click,  6, 72.28402 
 Left Click,  1, 73.60067 
 Left Click,  3, 73.81731 
 Left Click,  4, 74.134 
 Left Click,  8, 74.46732 
 Left Click,  5, 75.06731 
 Left Click,  2, 75.61729 
 Left Click,  6, 79.98391 
 Left Click,  1, 82.45054 
 Left Click,  7, 82.61719 
 Left Click,  2, 83.35052 

 Left Click,  3, 89.31709 
 Left Click,  1, 92.30039 
 Left Click,  4, 92.43372 
 Left Click,  3, 92.70039 
 Left Click,  2, 94.05035 
 Left Click,  6, 94.28368 
 Left Click,  7, 94.80035 
 Left Click,  5, 94.98367 
 Left Click,  8, 95.88365 

 Left Click,  8, 104.6335 
 Left Click,  2, 104.8669 
 Left Click,  6, 105.1169 
 Left Click,  4, 105.7002 
 Left Click,  3, 106.1335 
 Left Click,  7, 106.4168 
 Left Click,  5, 106.5335 
 Left Click,  1, 107.4502 
 Left Click,  4, 115.3667 
 Left Click,  6, 117.2667 
 Left Click,  8, 126.5332 
 Left Click,  2, 127.0499 
 Left Click,  3, 127.5499 
 Left Click,  5, 132.4998 
 Left Click,  7, 134.1164 
 Left Click,  1, 134.7164 

 Left Click,  4, 139.2997 
 Left Click,  3, 139.3163 
 Left Click,  8, 139.4997 
 Left Click,  5, 141.3497 
 Left Click,  2, 141.483 
 Left Click,  6, 141.5663 
 Left Click,  7, 141.683 
 Left Click,  1, 142.383 
 Left Click,  7, 147.5662 
 Left Click,  8, 150.4995 

 Left Click,  6, 152.7495 
 Left Click,  2, 154.6828 
 Left Click,  4, 157.5661 
 Left Click,  3, 158.1328 
 Left Click,  8, 158.4327 
 Left Click,  1, 158.4494 
 Left Click,  6, 158.4494 
 Left Click,  5, 158.5327 
 Left Click,  7, 159.1827 
 Left Click,  2, 159.8994 
 Left Click,  3, 164.916 
 Left Click,  2, 165.3993 

 Left Click,  7, 169.6159 
 Left Click,  3, 169.9492 
 Left Click,  2, 170.0992 
 Left Click,  1, 170.4659 
 Left Click,  8, 172.2992 
 Left Click,  6, 172.5325 
 Left Click,  5, 172.5992 
 Left Click,  4, 172.7992 
 Left Click,  7, 177.2491 

 Left Click,  1, 180.7824 
 Left Click,  2, 181.4491 
 Left Click,  6, 184.4323 
 Left Click,  7, 185.2657 
 Left Click,  4, 185.9323 
 Left Click,  2, 185.9657 
 Left Click,  1, 186.6823 
 Left Click,  5, 187.1323 
 Left Click,  8, 187.4156 
 Left Click,  3, 187.599 

 Left Click,  1, 193.1489 
 Left Click,  3, 194.0989 
 Left Click,  4, 194.0989 
 Left Click,  6, 194.1489 
 Left Click,  7, 195.1488 
 Left Click,  5, 195.4489 
 Left Click,  8, 195.6155 
 Left Click,  2, 195.7155 

 Left Click,  5, 202.7321 
 Left Click,  4, 203.5321 
 Left Click,  6, 203.6321 
 Left Click,  1, 204.5987 
 Left Click,  3, 204.6987 
 Left Click,  8, 205.0154 
 Left Click,  7, 205.1487 
 Left Click,  2, 206.5653 
 Left Click,  8, 208.7987 
 Left Click,  1, 213.0486 
 Left Click,  2, 213.1486 
 Left Click,  6, 215.5985 

 Left Click,  7, 227.415 
 Left Click,  3, 227.715 
 Left Click,  4, 228.615 
 Left Click,  5, 228.9483 
 Left Click,  8, 229.1483 
 Left Click,  6, 229.6983 
 Left Click,  2, 230.265 
 Left Click,  1, 231.0983 
 Left Click,  8, 239.1982 

 Left Click,  7, 243.4982 
 Left Click,  2, 245.6479 
 Left Click,  5, 245.831 
 Left Click,  4, 246.2147 
 Left Click,  3, 247.3147 
 Left Click,  7, 247.4314 
 Left Click,  1, 247.6977 
 Left Click,  6, 247.8309 
 Left Click,  8, 248.9478 

 Left Click,  7, 253.1971 
 Left Click,  6, 253.3303 
 Left Click,  3, 254.8121 
 Left Click,  1, 255.0619 
 Left Click,  8, 255.3116 
 Left Click,  4, 255.8444 
 Left Click,  6, 256.0609 
 Left Click,  7, 256.1774 
 Left Click,  5, 256.4771 
 Left Click,  2, 257.1265 
 Left Click,  5, 262.7042 
 Left Click,  6, 263.7365 

 Left Click,  2, 268.2467 
 Left Click,  7, 270.9139 
 Left Click,  1, 271.531 
 Left Click,  8, 272.0305 
 Left Click,  5, 272.3801 
 Left Click,  2, 272.53 
 Left Click,  6, 272.8297 
 Left Click,  3, 273.6809 
 Left Click,  4, 274.2477 
 Left Click,  5, 279.7972 

 Left Click,  7, 287.9469 
 Left Click,  6, 288.3299 
 Left Click,  8, 288.6973 
 Left Click,  2, 289.1473 
 Left Click,  4, 289.4972 
 Left Click,  5, 290.0641 
 Left Click,  1, 290.0807 
 Left Click,  3, 290.6641 

 Left Click,  4, 296.5307 
 Left Click,  7, 298.8806 
 Left Click,  8, 299.4806 
 Left Click,  3, 299.9306 
 Left Click,  1, 300.5639 
 Left Click,  2, 300.6806 
 Left Click,  4, 300.8306 
 Left Click,  5, 301.0806 
 Left Click,  6, 301.8972 
 Left Click,  6, 306.7972 
 Left Click,  2, 310.6971 

 Left Click,  1, 319.997 
 Left Click,  7, 320.0303 
 Left Click,  3, 322.9469 
 Left Click,  1, 323.1969 
 Left Click,  6, 323.2969 
 Left Click,  8, 324.4136 
 Left Click,  7, 324.8469 
 Left Click,  2, 325.1302 
 Left Click,  5, 325.1802 
 Left Click,  4, 325.6136 
 Left Click,  7, 329.9135 

 Left Click,  6, 331.7801 
 Left Click,  3, 336.5967 
 Left Click,  7, 336.9134 
 Left Click,  8, 336.98 
 Left Click,  6, 337.7467 
 Left Click,  5, 337.7634 
 Left Click,  2, 338.1467 
 Left Click,  4, 338.1634 
 Left Click,  1, 338.2967 
 Left Click,  5, 349.0799 
 Left Click,  1, 351.9632 
 Left Click,  8, 352.4298 

 Left Click,  2, 352.8798 
 Left Click,  1, 356.7964 
 Left Click,  5, 356.9798 
 Left Click,  3, 357.0131 
 Left Click,  8, 357.0131 
 Left Click,  7, 357.2964 
 Left Click,  2, 357.3464 
 Left Click,  4, 359.9131 
 Left Click,  6, 360.613 
 Left Click,  7, 363.1463 

 Left Click,  1, 369.5296 
 Left Click,  8, 369.5963 
 Left Click,  5, 370.5629 
 Left Click,  2, 371.4129 
 Left Click,  3, 373.4462 
 Left Click,  2, 373.9962 
 Left Click,  5, 374.3295 
 Left Click,  1, 374.9462 
 Left Click,  6, 375.0128 
 Left Click,  8, 375.6962 
 Left Click,  4, 376.2295 
 Left Click,  7, 376.7295 
 Left Click,  1, 381.6294 

 Left Click,  5, 385.6627 
 Left Click,  2, 386.9293 
 Left Click,  6, 387.1793 
 Left Click,  4, 387.646 
 Left Click,  3, 387.9793 
 Left Click,  1, 388.696 
 Left Click,  8, 389.3293 
 Left Click,  7, 389.4126 
 Left Click,  6, 392.3293 
 Left Click,  8, 396.6125 

 Left Click,  2, 397.3458 
 Left Click,  3, 397.5625 
 Left Click,  7, 399.2625 
 Left Click,  1, 402.1791 
 Left Click,  2, 402.4124 
 Left Click,  7, 402.4457 
 Left Click,  5, 402.4624 
 Left Click,  3, 403.5457 
 Left Click,  4, 404.7291 
 Left Click,  6, 404.979 
 Left Click,  8, 405.0457 

 Left Click,  3, 408.9623 
 Left Click,  5, 412.129 
 Left Click,  7, 413.0623 
 Left Click,  6, 413.8456 
 Left Click,  4, 414.1789 
 Left Click,  2, 414.2456 
 Left Click,  3, 414.5289 
 Left Click,  8, 414.5789 
 Left Click,  1, 414.7622 
 Left Click,  8, 425.4287 
 Left Click,  1, 425.4954 
 Left Click,  7, 431.9286 

 Left Click,  5, 435.9619 
 Left Click,  2, 439.1119 
 Left Click,  5, 440.0785 
 Left Click,  1, 440.0952 
 Left Click,  3, 440.7618 
 Left Click,  8, 441.1952 
 Left Click,  6, 441.7451 
 Left Click,  4, 442.0285 
 Left Click,  7, 442.5285 
 Left Click,  6, 445.5618 
 Left Click,  7, 446.3451 
 Left Click,  3, 446.9118 
 Left Click,  5, 448.4117 
 Left Click,  2, 453.345 
 Left Click,  8, 458.8949 
 Left Click,  1, 462.2782 
 Left Click,  4, 467.9448 

 Left Click,  4, 483.4779 
 Left Click,  7, 483.4779 
 Left Click,  2, 484.0445 
 Left Click,  1, 484.3278 
 Left Click,  5, 484.9279 
 Left Click,  6, 485.0112 
 Left Click,  3, 485.1778 
 Left Click,  8, 485.8278 
 Left Click,  8, 491.3611 
 Left Click,  7, 492.561 

