Event, Details, Time(s)
 Start,  15/06/2025 15:07:28, 0.2205566 

 Start,  15/06/2025 15:15:14, 0.03664999 

 Debug Mode Toggled,  True, 23.72687 

 Left Click,  3, 40.07663 
 Left Click,  9, 40.07663 
 Left Click,  7, 40.44329 
 Left Click,  2, 40.60995 
 Left Click,  1, 41.07661 
 Left Click,  8, 41.67658 
 Left Click,  6, 42.65992 
 Left Click,  4, 42.67657 
 Left Click,  5, 43.04323 
 Left Click,  10, 43.82656 
 Left Click,  9, 46.45987 
 Left Click,  3, 46.5432 
 Left Click,  7, 49.19315 
 Left Click,  2, 52.55976 

 Left Click,  1, 58.00969 
 Left Click,  4, 59.94299 
 Left Click,  7, 61.10964 
 Left Click,  2, 61.17629 
 Left Click,  6, 61.19297 
 Left Click,  9, 61.22629 
 Left Click,  8, 62.14295 
 Left Click,  5, 62.24295 
 Left Click,  1, 62.27628 
 Left Click,  3, 62.37628 
 Left Click,  10, 62.95962 
 Left Click,  5, 67.89287 
 Left Click,  6, 69.64285 
 Left Click,  7, 70.07616 
 Left Click,  8, 70.15952 
 Left Click,  9, 70.17616 
 Left Click,  1, 70.45951 
 Left Click,  4, 70.79284 

 Left Click,  2, 75.24276 
 Left Click,  9, 75.42607 
 Left Click,  1, 75.64275 
 Left Click,  8, 76.74274 
 Left Click,  5, 77.22605 
 Left Click,  7, 77.75939 
 Left Click,  6, 78.02604 
 Left Click,  4, 78.50938 
 Left Click,  3, 78.60938 
 Left Click,  10, 78.97603 
 Left Click,  3, 82.17599 
 Left Click,  4, 83.64263 
 Left Click,  1, 84.05931 
 Left Click,  5, 84.9593 
 Left Click,  7, 88.95927 
 Left Click,  8, 89.42591 
 Left Click,  10, 92.15922 
 Left Click,  2, 99.55909 
 Left Click,  6, 104.309 

 Left Click,  9, 107.6256 
 Left Click,  9, 109.0923 
 Left Click,  6, 109.8089 
 Left Click,  2, 109.8256 
 Left Click,  7, 110.0589 
 Left Click,  8, 110.4756 
 Left Click,  5, 110.7089 
 Left Click,  4, 110.7589 
 Left Click,  1, 112.0922 
 Left Click,  3, 112.4589 
 Left Click,  10, 112.5589 
 Left Click,  2, 116.6422 
 Left Click,  9, 118.1088 
 Left Click,  5, 119.4921 
 Left Click,  6, 121.2088 
 Left Click,  1, 121.8421 

 Left Click,  8, 127.142 
 Left Click,  4, 127.492 
 Left Click,  10, 127.692 
 Left Click,  6, 127.7753 
 Left Click,  3, 128.2253 
 Left Click,  1, 128.3753 
 Left Click,  2, 129.1586 
 Left Click,  5, 129.192 
 Left Click,  9, 129.242 
 Left Click,  7, 129.8086 

 Left Click,  3, 133.6252 
 Left Click,  6, 136.1752 
 Left Click,  9, 136.4419 
 Left Click,  2, 136.5419 
 Left Click,  8, 136.5419 
 Left Click,  3, 136.7419 
 Left Click,  10, 136.9085 
 Left Click,  7, 137.8085 
 Left Click,  5, 138.6918 
 Left Click,  1, 139.1418 
 Left Click,  4, 139.6085 

 Left Click,  4, 145.7084 
 Left Click,  10, 148.8917 
 Left Click,  1, 149.7084 
 Left Click,  8, 149.7417 
 Left Click,  6, 149.8917 
 Left Click,  2, 150.6917 
 Left Click,  4, 150.9917 
 Left Click,  3, 151.8917 
 Left Click,  5, 152.1417 
 Left Click,  9, 152.5916 
 Left Click,  7, 152.6916 
 Left Click,  9, 159.8415 
 Left Click,  1, 168.2414 
 Left Click,  3, 168.6581 
 Left Click,  5, 169.2247 
 Left Click,  6, 172.208 
 Left Click,  4, 172.758 
 Left Click,  7, 173.208 
 Left Click,  10, 175.908 
 Left Click,  2, 176.9079 

 Left Click,  8, 182.6078 
 Left Click,  1, 185.4745 
 Left Click,  8, 185.4911 
 Left Click,  6, 186.0245 
 Left Click,  4, 186.1911 
 Left Click,  9, 186.3911 
 Left Click,  3, 186.4745 
 Left Click,  5, 187.0578 
 Left Click,  7, 187.7745 
 Left Click,  10, 188.0745 
 Left Click,  2, 188.4745 

 Left Click,  7, 192.1577 
 Left Click,  5, 192.7244 
 Left Click,  1, 193.191 
 Left Click,  2, 195.1077 
 Left Click,  5, 195.2077 
 Left Click,  4, 195.3577 
 Left Click,  10, 195.5077 
 Left Click,  6, 196.091 
 Left Click,  1, 196.691 
 Left Click,  9, 197.241 
 Left Click,  8, 197.3743 
 Left Click,  7, 198.1243 
 Left Click,  3, 198.9076 

 Left Click,  7, 202.9076 
 Left Click,  2, 203.6575 
 Left Click,  1, 205.3908 
 Left Click,  2, 206.0575 
 Left Click,  3, 206.1909 
 Left Click,  8, 206.3908 
 Left Click,  6, 206.4242 
 Left Click,  9, 206.6742 
 Left Click,  5, 207.0075 
 Left Click,  4, 207.3575 
 Left Click,  10, 208.3408 
 Left Click,  7, 208.8241 

 Left Click,  1, 215.924 
 Left Click,  8, 217.3407 
 Left Click,  7, 217.5407 
 Left Click,  2, 217.624 
 Left Click,  3, 217.6573 
 Left Click,  4, 217.974 
 Left Click,  9, 218.4906 
 Left Click,  1, 218.7073 
 Left Click,  6, 218.924 
 Left Click,  5, 219.2906 
 Left Click,  10, 220.9739 

 Left Click,  9, 225.5572 
 Left Click,  1, 225.6572 
 Left Click,  10, 227.1405 
 Left Click,  7, 227.2072 
 Left Click,  5, 227.4572 
 Left Click,  1, 227.6405 
 Left Click,  9, 227.8905 
 Left Click,  8, 228.0572 
 Left Click,  2, 228.7905 
 Left Click,  6, 229.7238 
 Left Click,  4, 230.5905 
 Left Click,  3, 230.7071 

 Left Click,  6, 233.9904 
 Left Click,  6, 237.6404 
 Left Click,  3, 239.4237 
 Left Click,  4, 239.4237 
 Left Click,  10, 239.5737 
 Left Click,  9, 239.5904 
 Left Click,  7, 239.6737 
 Left Click,  8, 239.8237 
 Left Click,  2, 241.057 
 Left Click,  1, 241.157 
 Left Click,  5, 241.2237 

 Left Click,  5, 249.0069 
 Left Click,  1, 250.9568 
 Left Click,  9, 251.8235 
 Left Click,  6, 251.8735 
 Left Click,  5, 252.1902 
 Left Click,  10, 252.5235 
 Left Click,  2, 252.6235 
 Left Click,  7, 252.6402 
 Left Click,  4, 252.9235 
 Left Click,  8, 253.6401 
 Left Click,  3, 254.3235 

 Left Click,  7, 257.9401 
 Left Click,  9, 257.9901 
 Left Click,  4, 258.1735 
 Left Click,  3, 258.6568 
 Left Click,  6, 261.1567 
 Left Click,  4, 261.44 
 Left Click,  8, 261.4733 
 Left Click,  7, 261.8567 
 Left Click,  10, 262.5566 
 Left Click,  9, 262.5733 
 Left Click,  1, 263.09 
 Left Click,  3, 263.4233 
 Left Click,  5, 263.99 
 Left Click,  2, 264.0233 
 Left Click,  1, 267.7733 
 Left Click,  8, 267.84 
 Left Click,  4, 267.94 

 Left Click,  2, 277.8564 
 Left Click,  7, 278.3731 
 Left Click,  3, 278.9898 
 Left Click,  5, 279.7897 
 Left Click,  8, 279.8897 
 Left Click,  6, 280.4231 
 Left Click,  1, 280.8398 
 Left Click,  4, 280.8731 
 Left Click,  10, 281.3397 
 Left Click,  9, 281.4731 

 Left Click,  4, 287.2729 
 Left Click,  5, 287.2729 
 Left Click,  10, 287.473 
 Left Click,  9, 287.623 
 Left Click,  8, 288.1896 
 Left Click,  3, 288.2396 
 Left Click,  7, 288.523 
 Left Click,  1, 288.7063 
 Left Click,  6, 290.4229 
 Left Click,  2, 290.9896 
 Left Click,  10, 295.3562 
 Left Click,  8, 295.9062 
 Left Click,  2, 300.6561 

 Left Click,  3, 305.3893 
 Left Click,  7, 305.5227 
 Left Click,  6, 305.756 
 Left Click,  3, 308.7893 
 Left Click,  7, 309.2226 
 Left Click,  8, 309.7226 
 Left Click,  9, 309.9393 
 Left Click,  6, 310.1393 
 Left Click,  2, 310.6226 
 Left Click,  10, 310.9226 
 Left Click,  5, 311.4559 
 Left Click,  4, 311.5393 
 Left Click,  1, 311.6226 
 Left Click,  3, 319.3392 

 Left Click,  9, 320.3391 
 Left Click,  1, 321.0058 
 Left Click,  6, 322.5558 
 Left Click,  10, 323.7058 
 Left Click,  3, 323.8058 
 Left Click,  2, 324.0891 
 Left Click,  7, 324.9557 
 Left Click,  5, 325.0891 
 Left Click,  6, 325.2891 
 Left Click,  1, 325.3724 
 Left Click,  9, 326.1224 
 Left Click,  4, 327.1891 
 Left Click,  8, 327.4724 

 Left Click,  1, 334.5056 
 Left Click,  4, 338.6389 
 Left Click,  7, 339.0056 
 Left Click,  9, 339.2389 
 Left Click,  6, 339.8055 
 Left Click,  2, 340.0555 
 Left Click,  8, 340.1222 
 Left Click,  3, 340.3888 
 Left Click,  10, 340.5888 
 Left Click,  5, 340.9388 
 Left Click,  1, 341.1388 
 Left Click,  2, 354.422 
 Left Click,  5, 355.022 

 Left Click,  6, 356.4386 
 Left Click,  9, 356.9553 
 Left Click,  8, 357.072 
 Left Click,  10, 357.4053 
 Left Click,  4, 358.4886 
 Left Click,  6, 361.6385 
 Left Click,  7, 361.6385 
 Left Click,  2, 361.6552 
 Left Click,  8, 361.9718 
 Left Click,  9, 362.1052 
 Left Click,  10, 362.6385 
 Left Click,  3, 363.4718 
 Left Click,  1, 363.5218 
 Left Click,  5, 363.6385 
