Event, Details, Time(s)
 Start, 15/06/2025 15:07:28, 0.2205566 
 PlaceBet, Response Time: 0.2000122, Response: {"status":"error"}, 290.623 
 PlaceBet Status Not OK, response: {"status":"error"}, 290.623 

 PlaceBet, Response Time: 0.2333374, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"2990747944","betType":"single","playerId":"2","roundId":"17500007925716778","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:20:25.078Z","id":"684ee4b9a10c8e00207fc4ec"}}, 309.456 
 PlaceBet, Response Time: 0.2666626, Response: {"status":"error"}, 310.406 
 PlaceBet Status Not OK, response: {"status":"error"}, 310.406 
 PlaceBet, Response Time: 0.2166748, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"3079795117","betType":"single","playerId":"4","roundId":"17500007925716778","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:20:27.435Z","id":"684ee4bb99ab710014279824"}}, 311.8393 

 PlaceBet, Response Time: 0.3999634, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"9294992093","betType":"single","playerId":"2","roundId":"17500008019968629","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:20:40.926Z","id":"684ee4c8e7a25e0010f0090d"}}, 325.3557 
 PlaceBet, Response Time: 0.2333374, Response: {"status":"error"}, 325.5224 
 PlaceBet Status Not OK, response: {"status":"error"}, 325.5224 
 PlaceBet, Response Time: 0.3833008, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"7144472178","betType":"single","playerId":"4","roundId":"17500008019968629","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:20:41.340Z","id":"684ee4c9094703001100e96d"}}, 325.7557 

 PlaceBet, Response Time: 0.1999817, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"9017390951","betType":"single","playerId":"2","roundId":"17500008232629306","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:20:54.824Z","id":"684ee4d67f2cc7000fc199f3"}}, 339.2055 
 PlaceBet, Response Time: 0.1999817, Response: {"status":"error"}, 340.0055 
 PlaceBet Status Not OK, response: {"status":"error"}, 340.0055 
 PlaceBet, Response Time: 0.2166748, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"7989299393","betType":"single","playerId":"4","roundId":"17500008232629306","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:20:56.953Z","id":"684ee4d88611f3001165f507"}}, 341.3555 

 drop-jackpot, {"playerId":2,"jackpotAmount":1000,"jackpotType":"Bronze"}, 357.1719 
 DropJackpot Successfull, Jackpot sent to Player: 2, 357.1719 
 drop-jackpot, {"playerId":2,"jackpotAmount":1000,"jackpotType":"Silver"}, 357.6553 
 DropJackpot Successfull, Jackpot sent to Player: 2, 357.6719 
 PlaceBet, Response Time: 0.2166748, Response: {"status":"error"}, 361.8552 
 PlaceBet Status Not OK, response: {"status":"error"}, 361.8552 
 PlaceBet, Response Time: 0.3000183, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"5034129726","betType":"single","playerId":"2","roundId":"17500008385995675","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:21:17.550Z","id":"684ee4edd1b2b7000fa92a66"}}, 361.9385 
 PlaceBet, Response Time: 0.2333374, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"4138038313","betType":"single","playerId":"4","roundId":"17500008385995675","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:21:19.359Z","id":"684ee4efcc590f001b525f5a"}}, 363.7552 
 Cashout, Response Time: 0.2166748, Response: {"status":"ok","data":{"wallet":1510.345833972984,"playLevel":200,"bonus":0,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":4,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T22:36:13.499Z","id":"684b565d95dd5c0010284e41"}}, 371.605 

 PlaceBet, Response Time: 0.25, Response: {"status":"error"}, 379.8383 
 PlaceBet Status Not OK, response: {"status":"error"}, 379.8383 
 PlaceBet, Response Time: 0.2333374, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"6735414624","betType":"single","playerId":"4","roundId":"17500008529257906","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:21:36.533Z","id":"684ee5004ddeef001a91faed"}}, 380.9549 
 PlaceBet, Response Time: 0.25, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"7503970446","betType":"single","playerId":"2","roundId":"17500008529257906","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:21:38.202Z","id":"684ee502769eb8001a50c76e"}}, 382.6382 
 Cashout, Response Time: 0.1999817, Response: {"status":"ok","data":{"wallet":1622.345833972984,"playLevel":200,"bonus":0,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":4,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T22:36:13.499Z","id":"684b565d95dd5c0010284e41"}}, 387.9048 
 Cashout, Response Time: 0.2333374, Response: {"status":"ok","data":{"wallet":7211.735878601021,"playLevel":200,"bonus":0,"freebet":true,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":2,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T22:36:11.709Z","id":"684b565bb84283001eb2f607"}}, 402.6379 

 PlaceBet, Response Time: 0.1833191, Response: {"status":"error"}, 410.1545 
 PlaceBet Status Not OK, response: {"status":"error"}, 410.1545 
 PlaceBet, Response Time: 0.2000122, Response: {"status":"ok","data":{"freebet":true,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":30.1,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"7306279923","betType":"single","playerId":"2","roundId":"17500008751703123","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:22:05.888Z","id":"684ee51da445b30010711fb4"}}, 410.2711 
 PlaceBet, Response Time: 0.2000122, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"4972719547","betType":"single","playerId":"4","roundId":"17500008751703123","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:22:07.786Z","id":"684ee51f094703001100e988"}}, 412.1711 

 PlaceBet, Response Time: 0.2333374, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"3595285754","betType":"single","playerId":"4","roundId":"17500008936187989","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:22:20.560Z","id":"684ee52c015875000f6d353d"}}, 424.9543 
 PlaceBet, Response Time: 0.2333069, Response: {"status":"error"}, 426.1709 
 PlaceBet Status Not OK, response: {"status":"error"}, 426.1709 

 Cashout, Response Time: 0.2166748, Response: {"status":"ok","data":{"wallet":2392.345833972984,"playLevel":200,"bonus":0,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":4,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T22:36:13.499Z","id":"684b565d95dd5c0010284e41"}}, 442.154 
 PlaceBet, Response Time: 0.1999817, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"1132263702","betType":"single","playerId":"2","roundId":"17500009242977692","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:22:42.949Z","id":"684ee542d48fd8000f263dfb"}}, 447.3373 
 PlaceBet, Response Time: 0.1833191, Response: {"status":"error"}, 447.9706 
 PlaceBet Status Not OK, response: {"status":"error"}, 447.9706 
 PlaceBet, Response Time: 0.1999817, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"3573224778","betType":"single","playerId":"4","roundId":"17500009242977692","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:22:44.885Z","id":"684ee544b808fe00182d54cf"}}, 449.2706 

 PlaceBet, Response Time: 0.1999817, Response: {"status":"error"}, 460.6704 
 PlaceBet Status Not OK, response: {"status":"error"}, 460.6704 
 PlaceBet, Response Time: 0.2499695, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"2680195682","betType":"single","playerId":"4","roundId":"17500009371459942","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:22:57.009Z","id":"684ee551e2aef600153cde60"}}, 461.437 
 PlaceBet, Response Time: 0.1999817, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"3548267502","betType":"single","playerId":"2","roundId":"17500009371459942","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:22:58.238Z","id":"684ee5527059350010ec2660"}}, 462.6204 

 PlaceBet, Response Time: 0.2333679, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"7736888068","betType":"single","playerId":"4","roundId":"17500009609909967","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:23:05.204Z","id":"684ee5598ebf86000fbf1aa8"}}, 469.6036 
 PlaceBet, Response Time: 0.2000122, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"4656862160","betType":"single","playerId":"2","roundId":"17500009609909967","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:23:07.639Z","id":"684ee55bcc590f001b525f75"}}, 472.0202 
 PlaceBet, Response Time: 0.1999817, Response: {"status":"error"}, 473.1202 
 PlaceBet Status Not OK, response: {"status":"error"}, 473.1202 
 Cashout, Response Time: 0.1999817, Response: {"status":"ok","data":{"wallet":7239.735878601021,"playLevel":200,"bonus":0,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":2,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T22:36:11.709Z","id":"684b565bb84283001eb2f607"}}, 483.8701 

 PlaceBet, Response Time: 0.25, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"6303469600","betType":"single","playerId":"4","roundId":"17500009746204077","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:23:27.410Z","id":"684ee56ff88c19000e0e4b62"}}, 491.8366 
 PlaceBet, Response Time: 0.2666626, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"1816389506","betType":"single","playerId":"2","roundId":"17500009746204077","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:23:27.660Z","id":"684ee56fc58c2600233f852e"}}, 492.0366 
 CreatePlayer, Response Time: 0.3166504, Response: {"status":"ok","data":{"wallet":0,"bonus":0,"playLevel":20,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":11,"superAgentId":"6708d877f86545dd1d64ae0f","id":"684ee5703418fa000f9449d1"}}, 493.1199 
 PlaceBet, Response Time: 0.2166748, Response: {"status":"error"}, 493.6366 
 PlaceBet Status Not OK, response: {"status":"error"}, 493.6366 

 PlaceBet, Response Time: 0.1999817, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"8241701380","betType":"single","playerId":"2","roundId":"17500009840461173","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:23:41.755Z","id":"684ee57dfd4604001abaa29b"}}, 506.1364 
 PlaceBet, Response Time: 0.2000122, Response: {"status":"error"}, 506.8698 
 PlaceBet Status Not OK, response: {"status":"error"}, 506.8698 
 PlaceBet, Response Time: 0.2166443, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"5545097277","betType":"single","playerId":"4","roundId":"17500009840461173","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:23:43.143Z","id":"684ee57fc58c2600233f8549"}}, 507.5197 

 PlaceBet, Response Time: 0.25, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"4163991498","betType":"single","playerId":"4","roundId":"17500010052854688","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:23:54.540Z","id":"684ee58a0cf8930011a58055"}}, 518.9529 
 PlaceBet, Response Time: 0.3000488, Response: {"status":"error"}, 519.1362 
 PlaceBet Status Not OK, response: {"status":"error"}, 519.1362 
 PlaceBet, Response Time: 0.2166138, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"2675326632","betType":"single","playerId":"2","roundId":"17500010052854688","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:23:55.774Z","id":"684ee58ba445b30010711fd3"}}, 520.1695 
 Cashout, Response Time: 0.2000122, Response: {"status":"ok","data":{"wallet":6901.735878601021,"playLevel":200,"bonus":0,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":2,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T22:36:11.709Z","id":"684b565bb84283001eb2f607"}}, 525.6861 

 PlaceBet, Response Time: 0.2166748, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"6609348338","betType":"single","playerId":"2","roundId":"1750001018417389","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:24:12.757Z","id":"684ee59ccbd1e400107d0016"}}, 537.1526 
 PlaceBet, Response Time: 0.1833496, Response: {"status":"error"}, 538.9193 
 PlaceBet Status Not OK, response: {"status":"error"}, 538.9193 
 PlaceBet, Response Time: 0.2332764, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"4753063196","betType":"single","playerId":"4","roundId":"1750001018417389","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:24:14.852Z","id":"684ee59eaf71fd00117946f1"}}, 539.2692 

 PlaceBet, Response Time: 0.2999878, Response: {"status":"error"}, 547.2025 
 PlaceBet Status Not OK, response: {"status":"error"}, 547.2025 
 PlaceBet, Response Time: 0.2166748, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"2157447184","betType":"single","playerId":"4","roundId":"17500010327794843","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:24:23.385Z","id":"684ee5a766a47400136afa45"}}, 547.7858 
 PlaceBet, Response Time: 0.2000122, Response: {"status":"ok","data":{"freebet":true,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":30.1,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"2073567635","betType":"single","playerId":"2","roundId":"17500010327794843","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:24:23.659Z","id":"684ee5a7c8b47e0013945efe"}}, 548.0358 
 Cashout, Response Time: 0.2833252, Response: {"status":"ok","data":{"wallet":1164.345833972984,"playLevel":200,"bonus":0,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":4,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T22:36:13.499Z","id":"684b565d95dd5c0010284e41"}}, 556.0023 
 Cashout, Response Time: 0.2833252, Response: {"status":"ok","data":{"wallet":6732.136878601021,"playLevel":200,"bonus":0,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":2,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T22:36:11.709Z","id":"684b565bb84283001eb2f607"}}, 556.719 

 PlaceBet, Response Time: 0.2166748, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"4177367191","betType":"single","playerId":"2","roundId":"17500010502409324","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:24:40.859Z","id":"684ee5b8e1c395000ef8ec08"}}, 565.2355 
 PlaceBet, Response Time: 0.1833496, Response: {"status":"error"}, 566.3522 
 PlaceBet Status Not OK, response: {"status":"error"}, 566.3522 
 PlaceBet, Response Time: 0.2832642, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"3908746149","betType":"single","playerId":"4","roundId":"17500010502409324","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:24:42.127Z","id":"684ee5baa0c4ad000f0ba886"}}, 566.5021 
 Cashout, Response Time: 0.2166748, Response: {"status":"ok","data":{"wallet":7010.136878601021,"playLevel":200,"bonus":0,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":2,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T22:36:11.709Z","id":"684b565bb84283001eb2f607"}}, 575.852 

 PlaceBet, Response Time: 0.2666626, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"7202500401","betType":"single","playerId":"4","roundId":"17500010602765079","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:24:58.986Z","id":"684ee5cacc590f001b525f90"}}, 583.4186 
 PlaceBet, Response Time: 0.3999634, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"4148989604","betType":"single","playerId":"2","roundId":"17500010602765079","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:24:59.233Z","id":"684ee5cb7e78fd00252044dc"}}, 583.6185 
 PlaceBet, Response Time: 0.1833496, Response: {"status":"error"}, 584.0352 
 PlaceBet Status Not OK, response: {"status":"error"}, 584.0352 

 PlaceBet, Response Time: 0.2000122, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"1162676140","betType":"single","playerId":"4","roundId":"17500010781402913","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:25:13.191Z","id":"684ee5d9d354ca00209ed724"}}, 597.5684 
 PlaceBet, Response Time: 0.3000488, Response: {"status":"error"}, 597.6851 
 PlaceBet Status Not OK, response: {"status":"error"}, 597.6851 
 PlaceBet, Response Time: 0.2166748, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"5555618872","betType":"single","playerId":"2","roundId":"17500010781402913","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:25:14.965Z","id":"684ee5da3467ed000f8423b9"}}, 599.3517 
 Cashout, Response Time: 0.2833252, Response: {"status":"ok","data":{"wallet":848.3458339729841,"playLevel":200,"bonus":0,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":4,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T22:36:13.499Z","id":"684b565d95dd5c0010284e41"}}, 605.1182 
 Cashout, Response Time: 0.2166748, Response: {"status":"ok","data":{"wallet":6992.136878601021,"playLevel":200,"bonus":0,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":2,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T22:36:11.709Z","id":"684b565bb84283001eb2f607"}}, 607.4349 

 PlaceBet, Response Time: 0.2333374, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"8998404029","betType":"single","playerId":"2","roundId":"17500010960013315","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:25:28.746Z","id":"684ee5e87190cf001323a576"}}, 613.1348 
 PlaceBet, Response Time: 0.2166748, Response: {"status":"error"}, 614.8348 
 PlaceBet Status Not OK, response: {"status":"error"}, 614.8348 
 PlaceBet, Response Time: 0.2166748, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"2872364242","betType":"single","playerId":"4","roundId":"17500010960013315","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:25:30.857Z","id":"684ee5ea63f2f6000fa9996c"}}, 615.2514 

 PlaceBet, Response Time: 0.2000122, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"8260359269","betType":"single","playerId":"2","roundId":"17500011114613651","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:25:38.029Z","id":"684ee5f2f88c19000e0e4b8f"}}, 622.4014 
 PlaceBet, Response Time: 0.2000122, Response: {"status":"error"}, 624.4013 
 PlaceBet Status Not OK, response: {"status":"error"}, 624.4013 
 PlaceBet, Response Time: 0.2166138, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"3100310693","betType":"single","playerId":"4","roundId":"17500011114613651","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:25:40.746Z","id":"684ee5f488a8b9001ecbc0d1"}}, 625.1346 

 PlaceBet, Response Time: 0.2166748, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"9848562239","betType":"single","playerId":"2","roundId":"17500011269104129","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:25:53.377Z","id":"684ee601e9cc440010e369c1"}}, 637.7511 

 Start, 15/06/2025 15:27:39, 0.2366791 
 Auth, Sent: {"deviceId":"423eb08d12de8eebc3ccdfe0c50c3a84d4af7609"} -- Received: {"registered":true,"device":"423eb08d12de8eebc3ccdfe0c50c3a84d4af7609","token":951583,"name":"device1","agentId":"6708d877f86545dd1d64ae0f","cashierId":"671e9e60b1418c7fd2eeb8cf","currency":"₦","superAgentId":"6708d877f86545dd1d64ae0f","id":"684b55eff20ab3001efa6071","setBonus":5.5}, 0.7850696 
 Connected, Connected to socket, 2.935047 
