Event, Details, Time(s)
 Start, 15/06/2025 15:07:28, 0.2205566 
 PlaceBet, Response Time: 0.1999969, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"8102909691","betType":"single","playerId":"4","roundId":"17500005547701163","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:16:31.451Z","id":"684ee3cf8ebf86000fbf1a6b"}}, 75.84275 
 PlaceBet, Response Time: 0.3166504, Response: {"status":"ok","data":{"freebet":true,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":30.1,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"2341501042","betType":"single","playerId":"2","roundId":"17500005547701163","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:16:33.685Z","id":"684ee3d138910f00136b3d1f"}}, 78.07604 
 PlaceBet, Response Time: 0.1999969, Response: {"status":"error"}, 78.22604 
 PlaceBet Status Not OK, response: {"status":"error"}, 78.22604 
 Cashout, Response Time: 0.2333298, Response: {"status":"ok","data":{"wallet":2246.445833972984,"playLevel":200,"bonus":0,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":4,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T22:36:13.499Z","id":"684b565d95dd5c0010284e41"}}, 84.29264 
 Cashout, Response Time: 0.2166672, Response: {"status":"ok","data":{"wallet":6687.735878601021,"playLevel":200,"bonus":0,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":2,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T22:36:11.709Z","id":"684b565bb84283001eb2f607"}}, 89.17593 

 drop-jackpot, {"playerId":3,"jackpotAmount":1000,"jackpotType":"Gold"}, 105.7257 
 DropJackpot Successfull, Jackpot sent to Player: 3, 105.7423 
 PlaceBet, Response Time: 0.2166519, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":2000,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"3489642972","betType":"single","playerId":"3","roundId":"17500005740426727","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:17:04.915Z","id":"684ee3f09a25680011fdca7c"}}, 109.3089 
