Event, Details, Time(s)
 Start,  27/11/2025 22:39:07, 0.03560937 
 Left Click,  65616, 7.260214 

 Left Click,  65616, 410.4231 

 Right Click,  65616, 487.7512 

 Start,  27/11/2025 22:47:49, 0.03560937 

 Start,  27/11/2025 22:49:38, 0.03560937 

 Left Click,  1, 28.41376 
 Left Click,  3, 29.10126 
 Left Click,  5, 30.36688 
 Left Click,  2, 31.78876 
 Left Click,  4, 32.11688 
 Left Click,  1, 39.11688 
 Left Click,  5, 39.83554 
 Left Click,  2, 40.10126 

 Left Click,  3, 46.58563 
 Left Click,  2, 47.11688 
 Left Click,  1, 48.36688 
 Left Click,  5, 48.36688 
 Left Click,  4, 49.27313 

 Left Click,  2, 56.66376 
 Left Click,  1, 57.16376 
 Left Click,  5, 57.22621 
 Left Click,  3, 57.25743 
 Left Click,  4, 59.36683 
 Left Click,  4, 66.77309 
 Left Click,  3, 67.36672 
 Left Click,  5, 67.91306 

 Left Click,  5, 74.88673 
 Left Click,  4, 76.02736 
 Left Click,  2, 76.23048 
 Left Click,  3, 76.83986 
 Left Click,  1, 78.08986 

 Start,  27/11/2025 22:52:03, 0.03560937 

 Left Click,  3, 30.93285 
 Left Click,  1, 31.0891 
 Left Click,  2, 31.85472 
 Left Click,  4, 32.91716 
 Left Click,  5, 33.97971 
 Left Click,  1, 39.91722 

 Left Click,  3, 46.7141 
 Left Click,  4, 47.49535 
 Left Click,  5, 47.55785 
 Left Click,  2, 48.7141 
 Left Click,  1, 49.12035 

 Left Click,  4, 53.2766 
 Left Click,  1, 56.5266 
 Left Click,  2, 57.41716 
 Left Click,  3, 57.80785 
 Left Click,  4, 57.85468 
 Left Click,  5, 58.63572 
 Left Click,  4, 66.84361 
 Left Click,  3, 69.71868 

 Left Click,  4, 75.20304 
 Left Click,  1, 76.2656 
 Left Click,  2, 77.35935 
 Left Click,  5, 77.35935 
 Left Click,  3, 78.40623 
 Left Click,  3, 81.53123 

 Left Click,  5, 82.31248 
 Left Click,  3, 86.68748 
 Left Click,  1, 86.71873 
 Left Click,  4, 86.85935 
 Left Click,  5, 88.8281 
 Left Click,  2, 89.15623 

 Left Click,  2, 95.62498 
 Left Click,  3, 95.96873 
 Left Click,  5, 97.09373 
 Left Click,  1, 97.2031 
 Left Click,  4, 97.3281 

 Left Click,  4, 105.0156 
 Left Click,  1, 105.0469 
 Left Click,  3, 105.5 
 Left Click,  2, 107.7812 
 Left Click,  5, 108.7187 

 Left Click,  2, 124.6406 
 Left Click,  3, 125.6094 
 Left Click,  3, 130.1406 
 Left Click,  5, 130.7344 
 Left Click,  1, 131.6094 
 Left Click,  4, 131.7344 
 Left Click,  2, 131.9219 

 Left Click,  3, 140.7187 
 Left Click,  1, 140.9219 
 Left Click,  5, 141.5781 
 Left Click,  2, 143.0469 
 Left Click,  4, 143.125 
 Left Click,  4, 150.125 
 Left Click,  3, 153.8594 

 Left Click,  5, 162.9062 
 Left Click,  2, 164.7031 
 Left Click,  3, 165.4844 
 Left Click,  1, 165.7812 
 Left Click,  4, 166 

 Left Click,  1, 172.1875 
 Left Click,  5, 172.8437 
 Left Click,  4, 174.8906 
 Left Click,  3, 175.2187 
 Left Click,  2, 175.4375 

 Left Click,  3, 182.6094 
 Left Click,  1, 182.6406 
 Left Click,  2, 182.6406 
 Left Click,  5, 182.9219 
 Left Click,  4, 183.6406 
 Left Click,  1, 190.3125 
 Left Click,  4, 200.4375 
 Left Click,  5, 203.7187 
 Left Click,  3, 204.1562 
 Left Click,  2, 213.625 

 Left Click,  5, 222.2969 
 Left Click,  1, 222.9687 
 Left Click,  4, 223.125 
 Left Click,  2, 224.1562 
 Left Click,  3, 224.5937 

 Left Click,  5, 234.0781 
 Left Click,  3, 234.2656 
 Left Click,  4, 234.375 
 Left Click,  2, 234.9844 
 Left Click,  1, 237.0781 
 Left Click,  2, 240.8906 
 Left Click,  5, 241.0937 

 Left Click,  3, 248.25 
 Left Click,  5, 248.5 
 Left Click,  2, 248.5156 
 Left Click,  4, 251.1719 
 Left Click,  1, 251.1875 
 Left Click,  4, 256.4218 
 Left Click,  2, 259.2812 

 Left Click,  2, 266.0781 
 Left Click,  3, 266.7031 
 Left Click,  1, 267.8437 
 Left Click,  5, 269.0468 
 Left Click,  4, 269.1718 

 Left Click,  3, 276.625 
 Left Click,  5, 277.5468 
 Left Click,  1, 278.7812 
 Left Click,  4, 278.8281 
 Left Click,  2, 278.9218 

 Right Click,  65616, 285.0625 
 Left Click,  4, 285.875 
 Left Click,  5, 287.3906 
 Left Click,  2, 287.5156 
 Left Click,  3, 288.3281 
 Left Click,  1, 288.6406 

 Left Click,  5, 295.9218 
 Left Click,  3, 296.8906 
 Left Click,  4, 297.0625 
 Left Click,  2, 297.2342 
 Left Click,  1, 297.5467 

 Left Click,  2, 301.2031 
 Left Click,  3, 304.203 
 Left Click,  2, 304.7968 
 Left Click,  4, 305.9062 
 Left Click,  1, 307.078 
 Left Click,  5, 307.7029 

 Left Click,  3, 311.7031 
 Left Click,  2, 313.3748 
 Left Click,  5, 313.4997 
 Left Click,  1, 313.8119 
 Left Click,  3, 316.25 
 Left Click,  4, 316.7812 
 Left Click,  1, 320.9843 
 Left Click,  3, 324.2187 

 Left Click,  1, 334.5312 
 Left Click,  2, 335.1093 
 Left Click,  3, 335.7343 
 Left Click,  4, 336.5625 
 Left Click,  5, 337 

 Left Click,  2, 342.7187 
 Left Click,  4, 342.9218 
 Left Click,  1, 343.6875 
 Left Click,  65616, 344.8281 
 Left Click,  3, 344.875 
 Left Click,  5, 345.9843 

 Left Click,  5, 349.8437 
 Left Click,  1, 350.9062 
 Left Click,  65616, 351.0312 
 Left Click,  4, 352.5 
 Left Click,  2, 353.0312 
 Left Click,  5, 354.7187 
 Left Click,  1, 355.1093 
 Left Click,  3, 355.9531 

 Left Click,  4, 360.9062 
 Left Click,  65616, 363.1718 
 Left Click,  5, 364.1406 
 Left Click,  3, 364.3123 
 Left Click,  2, 367.4264 
 Left Click,  1, 367.5358 
 Left Click,  4, 367.5983 
 Left Click,  4, 374.165 

 Left Click,  1, 378.9775 
 Left Click,  4, 379.5244 
 Left Click,  2, 379.8525 
 Left Click,  3, 380.2587 
 Left Click,  5, 381.2119 

 Left Click,  3, 388.0087 
 Left Click,  1, 388.165 
 Left Click,  2, 388.6337 
 Left Click,  4, 388.8212 
 Left Click,  5, 389.1025 

 Left Click,  65616, 395.165 
 Left Click,  4, 397.9306 
 Left Click,  3, 399.7899 
 Left Click,  5, 400.2431 
 Left Click,  2, 400.3994 
 Left Click,  1, 400.5244 

 Left Click,  3, 407.2946 
 Left Click,  1, 407.4665 
 Left Click,  4, 407.8571 
 Left Click,  5, 408.3415 
 Left Click,  2, 408.9977 
 Left Click,  65616, 411.3727 
 Left Click,  65616, 411.4665 
 Left Click,  65616, 414.1852 

 Left Click,  3, 415.6227 
 Left Click,  1, 418.8259 
 Left Click,  3, 418.8571 
 Left Click,  4, 421.3102 
 Left Click,  5, 422.1227 
 Left Click,  2, 422.5134 
 Left Click,  2, 436.1696 

 Left Click,  5, 440.3571 
 Left Click,  2, 444.5446 
 Left Click,  5, 446.3102 
 Left Click,  4, 446.9352 
 Left Click,  3, 447.0134 
 Left Click,  1, 447.1227 
 Left Click,  4, 452.4821 
 Left Click,  65616, 456.4196 

 Start,  28/11/2025 23:29:09, 0.03664999 

 Left Click,  4, 23.19886 
 Left Click,  3, 25.08214 
 Left Click,  1, 25.7821 
 Left Click,  5, 26.19879 
 Left Click,  2, 26.43209 

 Left Click,  3, 36.24854 
 Left Click,  5, 36.91519 
 Left Click,  1, 37.73181 
 Left Click,  2, 38.68179 
 Left Click,  4, 38.79848 
 Left Click,  5, 43.3817 
 Left Click,  2, 44.79834 

 Left Click,  3, 51.66485 
 Left Click,  1, 54.43142 
 Left Click,  2, 54.61477 
 Left Click,  4, 55.98139 
 Left Click,  5, 56.14803 
 Left Click,  3, 57.38134 
 Left Click,  1, 62.29792 

 Left Click,  65642, 71.69765 
 Left Click,  3, 72.79764 
 Left Click,  2, 73.09762 
 Left Click,  5, 73.13095 
 Left Click,  4, 73.73093 
 Left Click,  1, 74.28092 

